Make_ID,Make_Name,Model_ID,Model_Name,MSRP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Displacement,Cylinder,Vehicle Class,EPA Air Pollution Score
452,BMW,20814,M550i,,,,,,,,,,,,,,,,,,
452,BMW,20815,M760i,,,,,,,,,,,,,,,,,,
452,BMW,21787,650i / ALPINA B6,,,,,,,,,,,,,,,,,,
452,BMW,21788,750Li / ALPINA B7,,,,,,,,,,,,,,,,,,
452,BMW,21790,750Lxi / ALPINA B7,,,,,,,,,,,,,,,,,,
452,BMW,21791,750xi / ALPINA B7,,,,,,,,,,,,,,,,,,
452,BMW,21792,750i / B7,,,,,,,,,,,,,,,,,,
452,BMW,21793,650i / B6,,,,,,,,,,,,,,,,,,
452,BMW,24944,640xi,,,,,,,,,,,,,,,,,,
452,BMW,26481,M340i,,,,,,,,,,,,,,,,,,
452,BMW,26482,745e,,,,,,,,,,,,,,,,,,
452,BMW,26483,840i,,,,,,,,,,,,,,,,,,
452,BMW,26484,M850i,,,,,,,,,,,,,,,,,,
468,Buick,1821,LaCrosse,40341.25,nan,20098.5,22639.0,19341.333333333300,16659.5,14879.4,15650.0,9995.0,8457.0,nan,3990.0,nan,nan,,,,
468,Buick,1822,Regal,,,,,,,,,,,,,,,,,,
468,Buick,1823,Verano,,,,,,,,,,,,,,,,,,
468,Buick,4267,Lucerne,,,,,,,,,,,,,,,,,,
468,Buick,4287,Allure,,,,,,,,,,,,,,,,,,
468,Buick,8841,Park Avenue,,,,,,,,,,,,,,,,,,
468,Buick,8842,LeSabre,,,,,,,,,,,,,,,,,,
468,Buick,8843,Century,,,,,,,,,,,,,,,,,,
468,Buick,9069,Riviera,,,,,,,,,,,,,,,,,,
468,Buick,9090,Skylark,,,,,,,,,,,,,,,,,,
468,Buick,9119,Coachbuilder,,,,,,,,,,,,,,,,,,
468,Buick,9120,Roadmaster,,,,,,,,,,,,,,,,,,
468,Buick,10290,Cascada,,,,,,,,,,,,,,,,,,
468,Buick,14362,Reatta,,,,,,,,,,,,,,,,,,
468,Buick,14422,Electra,,,,,,,,,,,,,,,,,,
468,Buick,14466,Skyhawk,,,,,,,,,,,,,,,,,,
468,Buick,14486,Somerset,,,,,,,,,,,,,,,,,,
468,Buick,17844,Regal TourX,,,,,,,,,,,,,,,,,,
469,Cadillac,1824,ATS,44080.0,nan,nan,24260.0,20995.285714285700,18869.444444444400,20128.833333333300,16437.4,12999.0,nan,nan,nan,nan,nan,,,,
469,Cadillac,1825,CTS,56481.666666666700,nan,25038.14285714290,nan,24422.0,18749.0,19457.6,16400.0,12597.666666666700,7495.0,nan,5995.0,6745.0,3995.0,,,,
469,Cadillac,1827,XTS,51823.055555555600,nan,27370.0,23487.0,21231.166666666700,20403.166666666700,18278.0,17888.333333333300,16501.875,nan,nan,nan,nan,nan,,,,
469,Cadillac,10297,CT6,72358.47826086960,nan,54134.333333333300,46623.0,31320.8125,33712.333333333300,nan,nan,nan,nan,nan,nan,nan,nan,3.6,6,large car,5
469,Cadillac,1826,ELR,,,,,,,,,,,,,,,,,,
469,Cadillac,4300,STS,,,,,,,,,,,,,,,,,,
469,Cadillac,4308,DTS,,,,,,,,,,,,,,,,,,
469,Cadillac,4311,XLR,,,,,,,,,,,,,,,,,,
469,Cadillac,4592,Limousine,,,,,,,,,,,,,,,,,,
469,Cadillac,4593,Hearse ,,,,,,,,,,,,,,,,,,
469,Cadillac,8844,Deville,,,,,,,,,,,,,,,,,,
469,Cadillac,8989,Eldorado,,,,,,,,,,,,,,,,,,
469,Cadillac,9023,Catera,,,,,,,,,,,,,,,,,,
469,Cadillac,9091,Seville,,,,,,,,,,,,,,,,,,
469,Cadillac,9121,Commercial Chassis,,,,,,,,,,,,,,,,,,
469,Cadillac,9122,Fleetwood,,,,,,,,,,,,,,,,,,
469,Cadillac,14182,60 Special,,,,,,,,,,,,,,,,,,
469,Cadillac,14183,Allante,,,,,,,,,,,,,,,,,,
469,Cadillac,14185,Brougham,,,,,,,,,,,,,,,,,,
469,Cadillac,14487,Cimarron,,,,,,,,,,,,,,,,,,
469,Cadillac,26602,CT4,,,,,,,,,,,,,,,,,,
467,Chevrolet,1829,Camaro,46619.833333333300,nan,21173.333333333300,26360.0,22684.85714285710,27300.0,24027.0,23598.0,23366.666666666700,18498.0,nan,19888.0,nan,nan,2,4,small car,5
467,Chevrolet,1831,Corvette,71356.5,nan,55700.0,44000.333333333300,49424.0,39100.0,39795.6,32050.0,36997.5,37500.0,44350.0,nan,16941.5,nan,,,,
467,Chevrolet,1832,Cruze,24466.25,nan,13997.0,14647.0,13312.142857142900,12263.0,8240.0,7723.0,nan,6495.0,4995.0,nan,nan,nan,,,,
467,Chevrolet,1833,Impala,35842.833333333300,nan,17332.166666666700,15522.5,17094.666666666700,13917.8,11698.0,5995.0,nan,nan,nan,6995.0,nan,nan,3.6,6,large car,5
467,Chevrolet,1834,Malibu,26682.333333333300,nan,17243.0,15393.6,14678.2,13856.666666666700,nan,11500.0,nan,5741.5,6347.5,4400.0,5996.5,4995.0,1.5,4,midsize car,6
467,Chevrolet,1835,Sonic,21082.931034482800,nan,10595.0,13750.0,12959.57142857140,10616.25,10345.8,7488.5,7570.0,6799.5,nan,nan,nan,nan,1.4,4,small car,5
467,Chevrolet,1836,Spark,16546.0,nan,13343.0,13450.0,11080.0,11860.0,9779.666666666670,8484.0,5570.0,nan,nan,nan,nan,nan,1.4,4,small car,5
467,Chevrolet,1851,Suburban,67793.33333333330,nan,45268.142857142900,38625.0,34200.0,34218.71428571430,29100.5,nan,19245.0,15982.5,nan,nan,9500.0,nan,5.3,8,standard SUV,3
467,Chevrolet,10988,Trax,25531.333333333300,nan,18367.0,15538.75,14859.0,14313.333333333300,10943.5,nan,nan,nan,nan,nan,nan,nan,1.4,4,small SUV,5
467,Chevrolet,11502,Blazer,43136.833333333300,nan,36180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,4,small SUV,5
467,Chevrolet,1828,Aveo,,,,,,,,,,,,,,,,,,
467,Chevrolet,1830,Caprice Police Vehicle,,,,,,,,,,,,,,,,,,
467,Chevrolet,1837,SS,,,,,,,,,,,,,,,,,,
467,Chevrolet,1838,Volt,,,,,,,,,,,,,,,,,,
467,Chevrolet,1854,Tracker,,,,,,,,,,,,,,,,,,
467,Chevrolet,3531,Geo Prizm,,,,,,,,,,,,,,,,,,
467,Chevrolet,4047,Matiz,,,,,,,,,,,,,,,,,,
467,Chevrolet,4234,Cobalt,,,,,,,,,,,,,,,,,,
467,Chevrolet,4251,Optra,,,,,,,,,,,,,,,,,,
467,Chevrolet,4255,Kalos,,,,,,,,,,,,,,,,,,
467,Chevrolet,4773,Monte Carlo,,,,,,,,,,,,,,,,,,
467,Chevrolet,4992,Epica,,,,,,,,,,,,,,,,,,
467,Chevrolet,8834,Cavalier,,,,,,,,,,,,,,,,,,
467,Chevrolet,8835,U100,,,,,,,,,,,,,,,,,,
467,Chevrolet,8882,Astro Van,,,,,,,,,,,,,,,,,,
467,Chevrolet,9064,Lumina,,,,,,,,,,,,,,,,,,
467,Chevrolet,9088,Alero,,,,,,,,,,,,,,,,,,
467,Chevrolet,9115,Caprice,,,,,,,,,,,,,,,,,,
467,Chevrolet,9116,Corsica,,,,,,,,,,,,,,,,,,
467,Chevrolet,9117,Beretta,,,,,,,,,,,,,,,,,,
467,Chevrolet,9139,Hearse/Limo,,,,,,,,,,,,,,,,,,
467,Chevrolet,10043,Metro,,,,,,,,,,,,,,,,,,
467,Chevrolet,10979,Military Truck,,,,,,,,,,,,,,,,,,
467,Chevrolet,11483,S-10 Pickup,,,,,,,,,,,,,,,,,,
467,Chevrolet,11489,C/K Pickup,,,,,,,,,,,,,,,,,,
467,Chevrolet,11491,P - Series,,,,,,,,,,,,,,,,,,
467,Chevrolet,13634,Impala Limited,,,,,,,,,,,,,,,,,,
467,Chevrolet,13672,Bolt EV,,,,,,,,,,,,,,,,,,
467,Chevrolet,14166,Hearse/Limo Commercial Chassis,,,,,,,,,,,,,,,,,,
467,Chevrolet,14460,Celebrity,,,,,,,,,,,,,,,,,,
467,Chevrolet,14461,Geo Spectrum,,,,,,,,,,,,,,,,,,
467,Chevrolet,14462,G-Series,,,,,,,,,,,,,,,,,,
467,Chevrolet,14475,Chevette,,,,,,,,,,,,,,,,,,
467,Chevrolet,14513,Geo Sprint,,,,,,,,,,,,,,,,,,
467,Chevrolet,14515,Nova,,,,,,,,,,,,,,,,,,
467,Chevrolet,14547,Citation,,,,,,,,,,,,,,,,,,
467,Chevrolet,17528,Malibu Classic,,,,,,,,,,,,,,,,,,
476,Dodge,1893,Challenger,47767.1,nan,27731.083333333300,19236.666666666700,24901.0,28457.714285714300,25088.0,12975.0,17500.0,nan,nan,nan,22995.0,nan,,,,
